,obj_id,area[ha],ativo[ha],coda,mean[$/ha],ecoserv,prob_deforest,price[$]
13098,700630,15.5092,9.07378996,1,2580.3,0.36517002299999995,0.0,40018.38876
9087,424615,9.7718,0.57839179,1,4134.3,0.5214787479999999,0.0,40399.55274
9093,425161,9.94294,4.510653225,1,4104.7,0.503933489,0.0,40812.78582
4756,246483,16.0676,9.572543955,1,2543.3,0.493120038,0.710843373,40864.727080000004
8225,392998,7.0054,0.676783835,2,5834.2,0.426671281,0.0,40870.90468
5187,256231,16.9357,11.00577095,1,2469.3,0.46404483399999996,0.0,41819.324010000004
5441,266893,9.742180000000001,6.27265847,1,4311.9,0.538912095,0.0,42007.30594
17684,905874,16.7602,8.552362235,2,2521.1,0.5622030029999999,0.506024096,42254.14022
17677,905593,17.0663,5.86209962,1,2498.9,0.590780651,0.0,42646.97707
17676,905592,17.0795,5.86209962,1,2498.9,0.590780651,0.0,42679.96255
13490,707746,16.4947,1.58735379,1,2587.7,0.588150501,0.0,42683.33519
13193,702420,11.7367,7.628862475,1,3638.5,0.52137572,0.0,42703.98295
5147,255695,11.4872,5.4666501,1,3801.3,0.513324475,0.0,43666.29336
7007,319137,14.5119,1.18229683,1,3039.1,0.574298799,0.951807229,44103.115289999994
13451,707348,17.6177,4.45148927,1,2506.3,0.575080963,0.0,44155.24151
11070,544682,7.00524,4.408876875,2,6322.2,0.432867557,0.0,44288.52833
8856,408245,11.2198,0.093730405,2,3949.3,0.494015552,0.0,44310.356139999996
5809,280587,17.9993,11.69956983,1,2461.9,0.603275246,0.0,44312.47667
9812,462128,10.5363,2.39217004,2,4208.3,0.49780920100000003,0.0,44339.91129
7522,363081,11.4042,1.41270868,1,3910.7,0.409780329,0.710843373,44598.40494
6027,286319,15.8534,9.30470272,1,2817.1,0.47598717799999996,0.0,44660.613139999994
13498,707632,15.9412,5.36174919,1,2809.7,0.578827957,0.0,44789.98964
4264,232823,11.8607,6.70726593,1,3823.5,0.46884446,0.0,45349.38645
13266,703758,15.0351,3.66503876,1,3016.9,0.539082871,0.0,45359.393189999995
4313,235969,18.0905,3.588140075,1,2513.7,0.5443343420000001,0.0,45474.08985
7532,364517,11.8628,5.65151569,1,3860.5,0.528814765,0.951807229,45796.3394
18481,955741,9.73378,5.7189457,2,4756.8,0.556209333,0.0,46301.6447
5199,255765,18.4929,12.020420300000001,1,2528.5,0.481277931,0.0,46759.29765
13465,707592,17.2331,6.35966721,1,2794.9,0.678723805,0.172690763,48164.791189999996
13445,707504,17.7055,8.64511253,1,2720.9,0.589903295,0.172690763,48174.89495
9678,458546,11.2311,6.55668195,2,4311.9,0.511156935,0.654618474,48427.38009
5886,280885,20.0222,12.89765399,1,2439.7,0.512048263,0.0,48848.16134
13264,703746,14.9544,9.709686155,1,3349.9,0.520890985,0.0,50095.74456
6222,288735,12.4548,8.095635275,1,4052.9,0.48218339200000004,0.0,50478.058919999996
11534,575097,20.5086,2.87567332,1,2476.7,0.549626374,0.0,50793.64962
9186,434168,11.3088,0.27017464,1,4536.1,0.39134845100000004,0.0,51297.84768
5449,266935,12.4892,6.525324325,1,4171.3,0.530548884,0.0,52096.199960000005
6233,289219,12.1338,7.886682700000001,1,4311.9,0.53398414,0.710843373,52319.73222
12791,684132,21.4876,4.680136995,1,2439.7,0.572233346,0.0,52423.29772
17674,905505,12.7817,5.30440559,2,4134.3,0.599675614,0.0,52843.38231
18458,955227,11.0439,7.178420015,2,4785.6,0.579344279,0.0,52851.68784
5146,255643,21.2249,13.79616102,1,2498.9,0.528571935,0.0,53038.902610000005
12470,677520,10.3659,4.58606334,1,5184.5,0.506529361,0.0,53742.00855
10171,480880,12.9663,5.364823465,1,4201.1,0.327139348,0.0,54472.722929999996
5145,255565,22.4485,14.59150121,1,2476.7,0.540970075,0.0,55598.19995
13274,703892,22.024,13.38002003,1,2535.9,0.487723931,0.710843373,55850.6616
13450,707196,19.0433,3.76620628,1,2942.9,0.549517766,0.0,56042.527570000006
9088,424616,13.6009,0.57839179,1,4134.3,0.5214787479999999,0.0,56230.20087000001
15390,771734,22.805,12.49568866,1,2476.7,0.615840209,0.6345381529999999,56481.1435
18519,959608,7.006660000000001,4.550181935,1,8083.2,0.7344690559999999,0.0,56636.234110000005
24604,1330394,14.0199,2.8039877,2,4065.7,0.684637974,0.0,57000.707429999995
7485,360437,11.6172,7.551169405,1,4943.6,0.41235220100000003,0.0,57430.78992
20942,1106260,10.7825,0.99298488,2,5332.8,0.606321305,0.0,57500.916
13488,707596,17.6571,5.418471545,1,3268.5,0.5789990770000001,0.0,57712.23135
24578,1330295,13.4013,2.67271614,2,4307.7,0.682737991,0.425702811,57728.78001
4707,245737,13.0316,2.463765245,1,4443.4,0.421139968,0.0,57904.61144
15404,772082,22.0612,14.15189256,1,2632.1,0.543449107,0.345381526,58067.28452000001
14643,747726,4.22813,2.72858222,1,13780.5,0.494603835,0.0,58265.74547
5135,255561,23.23,8.09950221,1,2565.5,0.558014295,0.0,59596.565
7528,363579,20.9931,7.64548471,1,2846.7,0.46876764,0.0,59761.05777000001
13269,703956,24.683000000000003,5.617683385,1,2439.7,0.38157594200000006,0.0,60219.1151
5824,280751,23.1099,11.02143221,1,2609.9,0.596001256,0.907630522,60314.52801
5427,266575,15.2091,3.40947488,1,3993.7,0.525727719,0.0,60740.58267
15347,770826,25.0109,16.215178400000003,1,2439.7,0.513018551,0.0,61019.09273
6675,300047,25.0508,5.775813845,1,2469.3,0.505074151,0.0,61857.94044
7863,383089,11.1183,2.20727368,1,5565.8,0.44604380200000004,0.710843373,61882.23414
15412,771776,25.7234,16.70506,1,2439.7,0.512712105,0.0,62757.378979999994
6167,288477,14.5855,8.48054757,1,4311.9,0.530749963,0.710843373,62891.21745
24582,1330304,13.9063,2.78019008,2,4525.5,0.685925163,0.0,62932.96065
5140,255437,16.3321,10.41891897,1,3890.1,0.527278177,0.5742971889999999,63533.502210000006
13263,703732,15.0038,9.75248079,1,4252.7,0.518736656,0.0,63806.660260000004
5414,266245,15.0022,8.76795556,1,4297.1,0.544482489,0.0,64465.95362000001
20716,1080930,18.2784,5.86789058,2,3631.1,0.592263358,0.0,66370.69824
8859,408379,25.8274,15.16355893,2,2580.3,0.47231818799999997,0.0,66642.44022
